title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
What Makes Research Collaborations Successful? Advice from AMJ Authors	Ravasi	2024	Ravasi 2024 What Makes Research Collaborations Successful Advice from AMJ Authors.pdf	10.5465/amj.2024.4003	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2024.4003	https://journals.aom.org/doi/pdf/10.5465/amj.2024.4003?download=true	
Happy Talk: Is Common Diversity Rhetoric Effective Diversity Rhetoric?	Leslie	2023	Leslie 2023 Happy Talk Is Common Diversity Rhetoric Effective Diversity Rhetoric.pdf	10.5465/amj.2021.1402	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.1402	https://journals.aom.org/doi/pdf/10.5465/amj.2021.1402?download=true	
External Disruption Following CEO Succession: How Human and Social Capital Changes May Attract Competitive Attacks	Lee	2023	Lee 2023 External Disruption Following CEO Succession How Human and Social Capital Changes May Attract Competitive Attacks.pdf	10.5465/amj.2022.0448	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0448	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0448?download=true	
When the Symphony Does Jazz: How Resourcefulness Fosters Organizational Resilience during Adversity	Sonenshein	2023	Sonenshein 2023 When the Symphony Does Jazz How Resourcefulness Fosters Organizational Resilience during Adversity.pdf	10.5465/amj.2022.0988	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0988	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0988?download=true	
Job Insecurity and Well-Being: Integrating Life History and Transactional Stress Theories	Sirola	2024	Sirola 2024 Job Insecurity and Well-Being Integrating Life History and Transactional Stress Theories.pdf	10.5465/amj.2022.0285	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0285	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0285?download=true	
Becoming a Right-Hand Partner: How Lower-Power Employees Heedfully Challenge Organizational Leaders	Barnes	2023	Barnes 2023 Becoming a Right-Hand Partner How Lower-Power Employees Heedfully Challenge Organizational Leaders.pdf	10.5465/amj.2021.1390	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.1390	https://journals.aom.org/doi/pdf/10.5465/amj.2021.1390?download=true	
Organizational Ghosts: How “Ghostly Encounters” Enable Former Leaders to Influence Current Organizational Members	Bednar	2023	Bednar 2023 Organizational Ghosts How “Ghostly Encounters” Enable Former Leaders to Influence Current Organizational Members.pdf	10.5465/amj.2022.0622	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0622	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0622?download=true	
The Outcomes of Cross-Category Career Moves: How Cross-Industry Mobility and Industry Prestige Jointly Impact Executive Compensation	Sabanci	2023	Sabanci 2023 The Outcomes of Cross-Category Career Moves How Cross-Industry Mobility and Industry Prestige Jointly Impact Executive Compensation.pdf	10.5465/amj.2020.1423	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1423	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1423?download=true	
Balancing Professional Autonomy and Managerial Goals amid Broad Technology Adoption Pressures: Intraprofessional Segmentation at a Finnish School	Koljonen	2024	Koljonen 2024 Balancing Professional Autonomy and Managerial Goals amid Broad Technology Adoption Pressures Intraprofessional Segmentation at a Finnish School.pdf	10.5465/amj.2022.1093	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.1093	https://journals.aom.org/doi/pdf/10.5465/amj.2022.1093?download=true	
Responding to Professional Knowledge Disruptions of Unmitigable Uncertainty: The Role of Emotions, Practices, and Moral Duty among COVID-19 Physicians	Compagni	2023	Compagni 2023 Responding to Professional Knowledge Disruptions of Unmitigable Uncertainty The Role of Emotions, Practices, and Moral Duty among COVID-19 Physicians.pdf	10.5465/amj.2022.0697	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0697	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0697?download=true	
