title	first_author_last	year	nbs_link	publisher_link	status	saved_filename	attempted_sources	failure_reason	checked_on	doi	volume	issue	pages
More-than-capitalist economies: Insights from community supported agriculture, tiny houses and hitchhiking in Denmark	Aagaard	2026			downloaded	Aagaard 2025 More-than-capitalist economies Insights from community supported agriculture, tiny houses and hitchhiking in Denmark.pdf				10.1016/j.ecolecon.2025.108831	240		108831
The Real Effects of Protecting Biodiversity	Akbari	2026			downloaded	Akbari 2026 The real effects of protecting biodiversity.pdf				10.1093/rof/rfaf055	30	1	193-230
Is a picture worth a thousand words? Image usage in ESG reports	Albrecht	2025			downloaded	Albrecht 2025 Is a picture worth a thousand words Image usage in ESG reports.pdf				10.1016/j.aos.2025.101616	115		101616
Do Investors care about the Rainforest? Evidence from Voluntary Carbon Offsets around the World	Allen	2026			downloaded	Allen 2026 Do investors care about the rainforest Evidence from voluntary carbon offsets around the world.pdf				10.1093/rof/rfaf059	30	1	321-349
Practice Paper—AI-Driven Behavioral Nudges for Organizations: An Integrative System for Sustainable Resource Management	Amaral	2026			downloaded	Amaral 2025 Practice Paper—AI-Driven Behavioral Nudges for Organizations An Integrative System for Sustainable Resource Management [10.1287_mksc.2024.1154].pdf				10.1287/mksc.2024.1154	45	3	675-695
Siloed Sustainability: How Paradox Management Unravels in Integrative Practice Implementation	Amaral	2026			downloaded	Amaral 2025 Siloed Sustainability How Paradox Management Unravels in Integrative Practice Implementation.pdf				10.5465/amj.2023.0548	69	2	299-327
Invisible Inequality in Entrepreneurial Ecosystems: The Micro-Foundations of Navigating Marginalization	Anand	2025			downloaded	Anand 2025 Invisible Inequality in Entrepreneurial Ecosystems The Micro-Foundations of Navigating Marginalization.pdf				10.1177/00076503251407016			
Reaffirming and Renewing Our Declaration of Interdependence	Arora	2026			downloaded	Arora 2026 Reaffirming and Renewing Our Declaration of Interdependence.pdf				10.1177/00076503251403345	65	1	3-24
Kazakh Sharing Practices: A Critical Inquiry Into Sharing Economy Models From the Vantage of Ownership in Collective Societies	Berman	2025			downloaded	Berman 2025 Kazakh Sharing Practices A Critical Inquiry Into Sharing Economy Models From the Vantage of Ownership in Collective Societies.pdf				10.1177/00076503251364163			
Climate change and individual behavior	Bernard	2026			doi-missing	Bernard 2026 Climate change and individual behavior.pdf							
