title	first_author_last	year	nbs_link	publisher_link	attempted_sources	failure_reason	checked_on
Interpreting Violence: How Community Context Shapes Corporate Responses to Street Protests	Briscoe	2026	https://journals.sagepub.com/doi/abs/10.1177/00018392261419416	https://journals.sagepub.com/doi/abs/10.1177/00018392261419416	sage_cnpereading_html:https://sage.cnpereading.com/paragraph/article/?doi=10.1177/00018392261419416 | sage_cnpereading_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | publisher_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_pdf_cookies:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fjournals.sagepub.com%2Fdoi%2Fabs%2F10.1177%2F00018392261419416 | publisher_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_browser_pdf_cookies:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_browser_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1177%2F00018392261419416 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3Djournals.sagepub.com | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/ewppc7ac3z?q=journals.sagepub.com | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DInterpreting%20Violence%3A%20How%20Community%20Context%20Shapes%20Corporate%20Responses%20to%20Street%20Protests | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/x5ukqp3m4v?q=Interpreting%20Violence%3A%20How%20Community%20Context%20Shapes%20Corporate%20Responses%20to%20Street%20Protests | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/x5ukqp3m4v	no_formal_pdf_found	2026-04-13
Coordination and Commitment in International Climate Action: Evidence From Palm Oil	Hsiao	2026	https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608	https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608	publisher_html:https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.3982%2FECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.3982%2FECTA20608 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/enmmsgdplb?q=10.3982%2FECTA20608 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DCoordination%20and%20Commitment%20in%20International%20Climate%20Action%3A%20Evidence%20From%20Palm%20Oil | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/enmmsgdplb?q=Coordination%20and%20Commitment%20in%20International%20Climate%20Action%3A%20Evidence%20From%20Palm%20Oil	no_formal_pdf_found	2026-04-13
Mitigating Disability Bias in Hiring: The Role of Inclusion-Focused Generative AI in Complex HR Decisions	Yang	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044	publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70044 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/efwvpe2kvz?q=10.1111%2F1748-8583.70044 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DMitigating%20Disability%20Bias%20in%20Hiring%3A%20The%20Role%20of%20Inclusion-Focused%20Generative%20AI%20in%20Complex%20HR%20Decisions | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/efwvpe2kvz?q=Mitigating%20Disability%20Bias%20in%20Hiring%3A%20The%20Role%20of%20Inclusion-Focused%20Generative%20AI%20in%20Complex%20HR%20Decisions	no_formal_pdf_found	2026-04-13
Advancing Employee Voice Through Insights From Democratic Innovations	Pek	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039	publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70039 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/2p7yko2p3v?q=10.1111%2F1748-8583.70039 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DAdvancing%20Employee%20Voice%20Through%20Insights%20From%20Democratic%20Innovations | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/2p7yko2p3v?q=Advancing%20Employee%20Voice%20Through%20Insights%20From%20Democratic%20Innovations	no_formal_pdf_found	2026-04-13
Using Photo-Elicitation to Make Marginalised Voices Heard and Seen in Human Resource Management Research	Ladwig	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70033	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70033	publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/action/getFTRLinkout?url=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3D%2BGeneral%2BStatistics%2BOffice%2Bof%2BVietnam.%2B2024.%2BStatistical%2BYearbook%2Bof%2BVietnam%2B2024.%2BStatistical%2BPublishing%2BHouse.%2Bhttps%253A%252F%252Fwww.nso.gov.vn%252Fwp%25E2%2580%2590content%252Fuploads%252F2025%252F06%252FNGTK%25E2%2580%2590Cuc%25E2%2580%2590TK%25E2%2580%25902024_BQ.pdf.&doi=10.1111%2F1748-8583.70033&linkType=gs&linkLocation=Reference&linkSource=FULL_TEXT | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70033 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70033 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/action/getFTRLinkout?url=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3D%2BGeneral%2BStatistics%2BOffice%2Bof%2BVietnam.%2B2024.%2BStatistical%2BYearbook%2Bof%2BVietnam%2B2024.%2BStatistical%2BPublishing%2BHouse.%2Bhttps%253A%252F%252Fwww.nso.gov.vn%252Fwp%25E2%2580%2590content%252Fuploads%252F2025%252F06%252FNGTK%25E2%2580%2590Cuc%25E2%2580%2590TK%25E2%2580%25902024_BQ.pdf.&doi=10.1111%2F1748-8583.70033&linkType=gs&linkLocation=Reference&linkSource=FULL_TEXT | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70033 | publisher_pdf:https://onlinelibrary.wiley.com/action/getFTRLinkout?url=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3D%2BGeneral%2BStatistics%2BOffice%2Bof%2BVietnam.%2B2024.%2BStatistical%2BYearbook%2Bof%2BVietnam%2B2024.%2BStatistical%2BPublishing%2BHouse.%2Bhttps%253A%252F%252Fwww.nso.gov.vn%252Fwp%25E2%2580%2590content%252Fuploads%252F2025%252F06%252FNGTK%25E2%2580%2590Cuc%25E2%2580%2590TK%25E2%2580%25902024_BQ.pdf.&doi=10.1111%2F1748-8583.70033&linkType=gs&linkLocation=Reference&linkSource=FULL_TEXT | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70033 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70033 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/action/getFTRLinkout?url=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3D%2BGeneral%2BStatistics%2BOffice%2Bof%2BVietnam.%2B2024.%2BStatistical%2BYearbook%2Bof%2BVietnam%2B2024.%2BStatistical%2BPublishing%2BHouse.%2Bhttps%253A%252F%252Fwww.nso.gov.vn%252Fwp%25E2%2580%2590content%252Fuploads%252F2025%252F06%252FNGTK%25E2%2580%2590Cuc%25E2%2580%2590TK%25E2%2580%25902024_BQ.pdf.&doi=10.1111%2F1748-8583.70033&linkType=gs&linkLocation=Reference&linkSource=FULL_TEXT | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70033 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/dfeec5tuov?q=10.1111%2F1748-8583.70033 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DUsing%20Photo-Elicitation%20to%20Make%20Marginalised%20Voices%20Heard%20and%20Seen%20in%20Human%20Resource%20Management%20Research | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/dfeec5tuov?q=Using%20Photo-Elicitation%20to%20Make%20Marginalised%20Voices%20Heard%20and%20Seen%20in%20Human%20Resource%20Management%20Research	no_formal_pdf_found	2026-04-13
Sustainable HRM in the Public Sector: A Question of Viability or Legitimacy?	Johnson	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70034	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70034	publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70034 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70034 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70034 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70034 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70034 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70034 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70034 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70034 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70034 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70034 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70034 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/wcte7alqib?q=10.1111%2F1748-8583.70034 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DSustainable%20HRM%20in%20the%20Public%20Sector%3A%20A%20Question%20of%20Viability%20or%20Legitimacy%3F | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/roh7jcdm7v?q=Sustainable%20HRM%20in%20the%20Public%20Sector%3A%20A%20Question%20of%20Viability%20or%20Legitimacy%3F | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/roh7jcdm7v	no_formal_pdf_found	2026-04-13
The hidden cost of courage: How oppositional courage shapes trans employees’ diminished image belief.	Thoroughgood	2026	https://psycnet.apa.org/record/2027-31041-001	https://psycnet.apa.org/record/2027-31041-001	xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fpsycnet.apa.org%2Frecord%2F2027-31041-001 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1037%2Fapl0001374 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/utq4emhgyj?q=10.1037%2Fapl0001374	no_formal_pdf_found	2026-04-13
(Re)Entering the workforce after imprisonment: A new perspective on voluntary disclosure of criminal history and job-search assistance.	Houston	2025	https://psycnet.apa.org/record/2027-04818-001	https://psycnet.apa.org/record/2027-04818-001	xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fpsycnet.apa.org%2Frecord%2F2027-04818-001 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1037%2Fapl0001338 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/72pwgwsg7r?q=10.1037%2Fapl0001338	no_formal_pdf_found	2026-04-13
CO2 and socioeconomic impacts of working time reduction: a case study of 4.5-day workweek	Zhang	2026	https://link.springer.com/article/10.1007/s44498-026-00033-z	https://link.springer.com/article/10.1007/s44498-026-00033-z	publisher_html:https://link.springer.com/article/10.1007/s44498-026-00033-z | publisher_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_browser_pdf_cookies:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_browser_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs44498-026-00033-z | publisher_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_browser_pdf_cookies:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_browser_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00033-z.pdf | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1007%2Fs44498-026-00033-z | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/dll2jbhsg5?q=10.1007%2Fs44498-026-00033-z | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/dll2jbhsg5	no_formal_pdf_found	2026-04-13
From ‘New’ to ‘Renewed’: how consumer perceptions of functional and symbolic value influence reuse in the construction industry	Gurtner	2026	https://link.springer.com/article/10.1007/s44498-026-00017-z	https://link.springer.com/article/10.1007/s44498-026-00017-z	publisher_html:https://link.springer.com/article/10.1007/s44498-026-00017-z | publisher_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_browser_pdf_cookies:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_browser_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs44498-026-00017-z | publisher_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_browser_pdf_cookies:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_browser_pdf:https://link.springer.com/content/pdf/10.1007/s44498-026-00017-z.pdf | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1007%2Fs44498-026-00017-z | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/dll2jbhsg5?q=10.1007%2Fs44498-026-00017-z | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/dll2jbhsg5	no_formal_pdf_found	2026-04-13
