title	first_author_last	year	nbs_link	publisher_link	status	saved_filename	attempted_sources	failure_reason	checked_on	doi
A Design for All: De-Neurotypicalizing Business Schools and Achieving Substantive Performativity	Spoor	2026	https://journals.aom.org/doi/10.5465/amle.2025.0023	https://journals.aom.org/doi/10.5465/amle.2025.0023	downloaded	Spoor 2026 A Design for All De-Neurotypicalizing Business Schools and Achieving Substantive Performativity.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amle.2025.0023 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amle.2025.0023?download=true		2026-04-13	10.5465/amle.2025.0023
Englishization Beyond the Global North: Dependency, Struggle, and Resistance in Brazilian Management Research	Boussebaa	2025	https://journals.aom.org/doi/10.5465/amle.2023.0245	https://journals.aom.org/doi/10.5465/amle.2023.0245	downloaded	Boussebaa 2025 Englishization Beyond the Global North Dependency, Struggle, and Resistance in Brazilian Management Research.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amle.2023.0245 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amle.2023.0245?download=true		2026-04-13	10.5465/amle.2023.0245
Publishing with AMLE: An Invitation to Join the “Big Table” for Pluriversal Conversations	Joy	2026	https://journals.aom.org/doi/10.5465/amle.2026.0086	https://journals.aom.org/doi/10.5465/amle.2026.0086	downloaded	Joy 2026 Publishing with AMLE An Invitation to Join the “Big Table” for Pluriversal Conversations.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amle.2026.0086 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amle.2026.0086?download=true		2026-04-13	10.5465/amle.2026.0086
Designing Dual-Purpose Organizations: The Role of Soft Governance	Szerb	2026	https://journals.aom.org/doi/10.5465/amr.2023.0226	https://journals.aom.org/doi/10.5465/amr.2023.0226	downloaded	Szerb 2026 Designing Dual-Purpose Organizations The Role of Soft Governance.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amr.2023.0226 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amr.2023.0226?download=true		2026-04-13	10.5465/amr.2023.0226
Corporate Strategy and the Portfolio-Based View of CSR: Toward a Theory of Optimal CSR Diversification	Skandera	2026	https://journals.aom.org/doi/10.5465/amr.2023.0416	https://journals.aom.org/doi/10.5465/amr.2023.0416	downloaded	Skandera 2026 Corporate Strategy and the Portfolio-Based View of CSR Toward a Theory of Optimal CSR Diversification.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amr.2023.0416 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amr.2023.0416?download=true		2026-04-13	10.5465/amr.2023.0416
Beyond Dangling Carrots: The Effect of Policy Maker Motives on Their Response to Corporate Political Activity	Tabasi-Nejad	2025	https://journals.aom.org/doi/10.5465/amr.2023.0033	https://journals.aom.org/doi/10.5465/amr.2023.0033	downloaded	Tabasi-Nejad 2025 Beyond Dangling Carrots The Effect of Policy Maker Motives on Their Response to Corporate Political Activity.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amr.2023.0033 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amr.2023.0033?download=true		2026-04-13	10.5465/amr.2023.0033
2025 Presidential Address: Activism, Impact and Science: Management Scholarship in a Challenging Era	Bamberger	2025	https://journals.aom.org/doi/10.5465/amr.2025.0742	https://journals.aom.org/doi/10.5465/amr.2025.0742	downloaded	Bamberger 2025 2025 Presidential Address Activism, Impact and Science Management Scholarship in a Challenging Era.pdf	aom_browser_html:https://journals.aom.org/doi/10.5465/amr.2025.0742 | aom_browser_pdf:https://journals.aom.org/doi/pdf/10.5465/amr.2025.0742?download=true		2026-04-13	10.5465/amr.2025.0742
Constructing Carbon Abatement Cost Curves	Glenk	2025	https://publications.aaahq.org/accounting-review/article/doi/10.2308/TAR-2025-0315/23136/Constructing-Carbon-Abatement-Cost-Curves	https://publications.aaahq.org/accounting-review/article/doi/10.2308/TAR-2025-0315/23136/Constructing-Carbon-Abatement-Cost-Curves	downloaded	Glenk 2025 Constructing Carbon Abatement Cost Curves.pdf	publisher_html:https://publications.aaahq.org/accounting-review/article/doi/10.2308/TAR-2025-0315/23136/Constructing-Carbon-Abatement-Cost-Curves | publisher_pdf:https://publications.aaahq.org/accounting-review/article-pdf/doi/10.2308/TAR-2025-0315/155443/tar-2025-0315.pdf		2026-04-13	10.2308/TAR-2025-0315
Fair Market Value of Used Capacity Assets: Forecasts for Repurposed Electric Vehicle Batteries	Bach	2026	https://publications.aaahq.org/accounting-review/article/101/2/33/14362/Fair-Market-Value-of-Used-Capacity-Assets	https://publications.aaahq.org/accounting-review/article-abstract/101/2/33/14362/Fair-Market-Value-of-Used-Capacity-Assets?redirectedFrom=fulltext	downloaded	Bach 2026 Fair Market Value of Used Capacity Assets Forecasts for Repurposed Electric Vehicle Batteries.pdf	publisher_html:https://publications.aaahq.org/accounting-review/article/101/2/33/14362/Fair-Market-Value-of-Used-Capacity-Assets | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fpublications.aaahq.org%2Faccounting-review%2Farticle%2F101%2F2%2F33%2F14362%2FFair-Market-Value-of-Used-Capacity-Assets | publisher_pdf:https://publications.aaahq.org/accounting-review/article-pdf/101/2/33/156063/i0001-4826-101-2-33.pdf | xjtlu_browser_pdf:https://publications.aaahq.org/accounting-review/article-pdf/101/2/33/156063/i0001-4826-101-2-33.pdf | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.2308%2FTAR-2025-0024 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/64hwxiyxe5?q=10.2308%2FTAR-2025-0024 | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/64hwxiyxe5		2026-04-13	10.2308/TAR-2025-0024
Democratic Deviations: How Organizations Sustain Decentralization Commitments in the Face of Centralization Pressures	Lee	2026	https://journals.sagepub.com/doi/abs/10.1177/00018392261421927	https://journals.sagepub.com/doi/abs/10.1177/00018392261421927	downloaded	Lee 2026 Democratic Deviations How Organizations Sustain Decentralization Commitments in the Face of Centralization Pressures.pdf	sage_cnpereading_html:https://sage.cnpereading.com/paragraph/article/?doi=10.1177/00018392261421927 | sage_cnpereading_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261421927 | publisher_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261421927 | xjtlu_browser_pdf_cookies:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261421927 | xjtlu_browser_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261421927 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fjournals.sagepub.com%2Fdoi%2Fabs%2F10.1177%2F00018392261421927 | publisher_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261421927 | xjtlu_browser_pdf_cookies:https://journals.sagepub.com/doi/pdf/10.1177/00018392261421927 | xjtlu_browser_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261421927 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1177%2F00018392261421927 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3Djournals.sagepub.com | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/ewppc7ac3z?q=journals.sagepub.com | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DDemocratic%20Deviations%3A%20How%20Organizations%20Sustain%20Decentralization%20Commitments%20in%20the%20Face%20of%20Centralization%20Pressures | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/72hd4uisk5?q=Democratic%20Deviations%3A%20How%20Organizations%20Sustain%20Decentralization%20Commitments%20in%20the%20Face%20of%20Centralization%20Pressures | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/72hd4uisk5 | restored_from_existing_pdf:Lee 2026 Democratic Deviations How Organizations Sustain Decentralization Commitments in the Face of Centralization Pressures.pdf		2026-04-13	10.1177/00018392261421927
