title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
Rivals’ Negative Earnings Surprises, Language Signals, and Firms’ Competitive Actions	Guo	2020	Guo 2020 Rivals’ Negative Earnings Surprises, Language Signals, and Firms’ Competitive Actions.pdf	10.5465/amj.2018.0397	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0397	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0397?download=true		63	3	637-659
Being Different, Being Absent? A Dynamic Perspective on Demographic Dissimilarity and Absenteeism in Blue-Collar Teams	Reinwald	2020	Reinwald 2020 Being Different, Being Absent A Dynamic Perspective on Demographic Dissimilarity and Absenteeism in Blue-Collar Teams.pdf	10.5465/amj.2018.0290	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0290	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0290?download=true		63	3	660-684
Organizations, Risk Translation, and the Ecology of Risks: The Discursive Construction of a Novel Risk	Hardy	2020	Hardy 2020 Organizations, Risk Translation, and the Ecology of Risks The Discursive Construction of a Novel Risk.pdf	10.5465/amj.2017.0987	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0987	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0987?download=true		63	3	685-716
Dare to Be Different? Conformity Versus Differentiation in Corporate Social Activities of Chinese Firms and Market Responses	Zhang	2020	Zhang 2020 Dare to Be Different Conformity Versus Differentiation in Corporate Social Activities of Chinese Firms and Market Responses.pdf	10.5465/amj.2017.0412	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0412	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0412?download=true		63	3	717-742
Dissonant Ties in Intraorganizational Networks: Why Individuals Seek Problem-Solving Assistance from Difficult Colleagues	Brennecke	2020	Brennecke 2020 Dissonant Ties in Intraorganizational Networks Why Individuals Seek Problem-Solving Assistance from Difficult Colleagues.pdf	10.5465/amj.2017.0399	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0399	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0399?download=true		63	3	743-778
Not in My Pay Grade: The Relational Benefit of Pay Grade Dissimilarity	Zhang	2020	Zhang 2020 Not in My Pay Grade The Relational Benefit of Pay Grade Dissimilarity.pdf	10.5465/amj.2016.1344	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1344	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1344?download=true		63	3	779-801
CFO Gender and Financial Statement Irregularities	Gupta	2020	Gupta 2020 CFO Gender and Financial Statement Irregularities.pdf	10.5465/amj.2017.0713	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0713	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0713?download=true		63	3	802-831
Token Female Voice Enactment in Traditionally Male-Dominated Teams: Facilitating Conditions and Consequences for Performance	Farh	2020	Farh 2020 Token Female Voice Enactment in Traditionally Male-Dominated Teams Facilitating Conditions and Consequences for Performance.pdf	10.5465/amj.2017.0778	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0778	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0778?download=true		63	3	832-856
My Coworkers are Treated More Fairly than Me! A Self-Regulatory Perspective on Justice Social Comparisons	Koopman	2020	Koopman 2020 My Coworkers are Treated More Fairly than Me! A Self-Regulatory Perspective on Justice Social Comparisons.pdf	10.5465/amj.2016.0586	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0586	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0586?download=true		63	3	857-880
Last to Come and Last to Go? The Complex Role of Gender and Ethnicity in the Reputational Penalties for Directors Linked to Corporate Fraud	Naumovska	2020	Naumovska 2020 Last to Come and Last to Go The Complex Role of Gender and Ethnicity in the Reputational Penalties for Directors Linked to Corporate Fraud.pdf	10.5465/amj.2018.0193	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0193	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0193?download=true		63	3	881-902
Across the Great Divides: Gender Dynamics Influence How Intercultural Conflict Helps or Hurts Creative Collaboration	Chua	2020	Chua 2020 Across the Great Divides Gender Dynamics Influence How Intercultural Conflict Helps or Hurts Creative Collaboration.pdf	10.5465/amj.2016.1319	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1319	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1319?download=true		63	3	903-934
Constructing and Sustaining Counter-Institutional Identities	Chreim	2020	Chreim 2020 Constructing and Sustaining Counter-Institutional Identities.pdf	10.5465/amj.2017.0528	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0528	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0528?download=true		63	3	935-964
