issue	paper_count	extracted	status	committed_in	notes
vol-69-no-1	8	8	complete	7d5d199	pilot wave 1 (newest first)
vol-68-no-6	9	9	complete	7d5d199	pilot wave 2
vol-68-no-5	11	11	complete	7d5d199	pilot wave 3
vol-68-no-4	8	0	pending		scale-up batch
vol-68-no-3	8	0	pending		scale-up batch
vol-68-no-2	8	0	pending		scale-up batch
vol-68-no-1	10	0	pending		scale-up batch
vol-67-no-6	8	0	pending		scale-up batch
vol-67-no-5	9	0	pending		scale-up batch
vol-67-no-4	9	0	pending		scale-up batch
vol-67-no-3	10	0	pending		scale-up batch
vol-67-no-2	11	0	pending		scale-up batch
vol-67-no-1	11	0	pending		scale-up batch
vol-66-no-6	13	0	pending		scale-up batch
vol-66-no-5	12	0	pending		scale-up batch
vol-66-no-4	11	0	pending		scale-up batch
vol-66-no-3	11	0	pending		scale-up batch
vol-66-no-2	13	0	pending		scale-up batch
vol-66-no-1	13	0	pending		scale-up batch
